platform,store_id,store_name,store_url,store_rating,store_delivery_fee,store_delivery_time_min,store_delivery_time_max,store_promo,category,item_name,item_price,description,popular_badge,extracted_at
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Butter Chicken with Half Rice and Naan,A$22.50,"Half Butter Chicken with Half Rice; chicken pieces roasted in tandoor, simmered in tomato and cashew nut base sauces. with Naan",False,2026-05-04T03:48:37.825780+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Butter Chicken,A$26.50,Chicken pieces roasted in tandoor & simmered in tomato & cashew nut base sauces,False,2026-05-04T03:48:37.825824+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Biryani,A$20.00,"Fragrant basmati rice cooked with selected spices & your choice of veg/meat, served with Raita",False,2026-05-04T03:48:37.825830+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Lamb Rogan Josh with Half Rice and Naan,A$21.50,Half Lamb Rogan Josh; lamb cooked in traditional roasted spices. Including half rice and naan,False,2026-05-04T03:48:37.825832+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Chicken Tikka Masala with Half Rice Combo and Naan,A$21.50,"Enjoy a delicious combo of half portions of Chicken Tikka Masala and rice. Tender chicken pieces roasted in a tandoor and simmered in a flavorful tomato and cashew nut sauce. Served with soft, freshly baked naan of your choice.",False,2026-05-04T03:48:37.825834+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Rice,A$6.00,Basmati rice with a hint of cumin seeds,False,2026-05-04T03:48:37.825835+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Tandoori Chicken.,A$10.00,Chicken marinated with yoghurt & mixed Indian spices,False,2026-05-04T03:48:37.825837+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Paneer Butter Masala with Half Rice and Naan  ,A$21.50,"Relish creamy Paneer Butter Masala served with basmati rice and warm naan. Tender paneer cubes in a rich tomato-cashew sauce, paired perfectly with fluffy rice and freshly baked naan. A delightful meal.",False,2026-05-04T03:48:37.825838+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Traditional Indian Curry,A$25.50,"Cooked With Roasted Spices, Tomatoes & Onions",False,2026-05-04T03:48:37.825839+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Goat Curry,A$26.50,"Cooked with roasted spices, tomatoes & onions!",False,2026-05-04T03:48:37.825841+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Curry & Rice,A$17.00,Half Curry & Rice,False,2026-05-04T03:48:37.825842+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Paneer Butter Masala,A$23.00,"Cottage cheese blended with butter, cream, capsicums, onions, tomatoes & mild spices",False,2026-05-04T03:48:37.825843+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Half Beef Vindaloo with Half Rice and Naan,A$21.50,Half Beef Vindaloo ; cooked with hot and spicy herbs and touch of vinegar with half Rice and Naan,False,2026-05-04T03:48:37.825844+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Butter Naan,A$5.50,Plain flour bread - Naan Slathered With Butter,False,2026-05-04T03:48:37.825846+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Lassi,A$6.50,"Available in sweet, salted, mango.",False,2026-05-04T03:48:37.825847+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Vindaloo,A$25.50,Cooked With Hot & Spicy Herbs & A Touch Of Vinegar,False,2026-05-04T03:48:37.825848+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Chana Bhatura,A$16.50,2 pieces of crispy golden fried bread served with chickpeas,False,2026-05-04T03:48:37.825849+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Lamb Roghan Josh,A$27.50,Lamb cooked in traditional roasted spices,False,2026-05-04T03:48:37.825850+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Dal Makhani,A$20.00,"Black lentils cooked on slow fire, specially flavored with spices & cream",False,2026-05-04T03:48:37.825851+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Aloo Parantha,A$7.00,Whole meal bread - parantha stuffed with potato,False,2026-05-04T03:48:37.825852+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Chicken Tikka Masala,A$26.50,"Chicken tikka cooked with onions, capsicums & tomatoes",False,2026-05-04T03:48:37.825853+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Samosa,A$11.50,(2 Pieces) Golden pastry filled with lightly spiced potatoes & peas,False,2026-05-04T03:48:37.825854+00:00
doordash,644970,D'tandoor,https://www.doordash.com/store/644970,4.3,0,9,9,,,Mughlai Korma,A$25.50,Cooked In Mild Creamy Cashew Nut & Almond Sauce,False,2026-05-04T03:48:37.825856+00:00
